0.5000000E-01	119  1.260320E-11  1.623325E+00 -1.595659E-01
0.1000000E+00	119  1.816170E-11  3.020466E+00 -5.656039E-01
0.1500000E+00	119 -7.441143E-11  4.113381E+00 -1.081461E+00
0.2000000E+00	119  9.057443E-13  4.938122E+00 -1.609028E+00
0.2500000E+00	119  2.573560E-12  5.559929E+00 -2.102573E+00
0.3000000E+00	119 -1.436151E-12  6.035570E+00 -2.547396E+00
0.3500000E+00	119 -2.802780E-14  6.406628E+00 -2.942670E+00
0.4000000E+00	119  1.774809E-13  6.702038E+00 -3.292694E+00
0.4500000E+00	119 -5.260123E-14  6.941755E+00 -3.603084E+00
0.5000000E+00	119 -1.025350E-11  7.139715E+00 -3.879399E+00
0.5500000E+00	119  3.167700E-11  7.305945E+00 -4.126890E+00
0.6000000E+00	119 -3.933451E-12  7.509981E+00 -4.451589E+00
0.6250000E+00	119 -3.933451E-12  7.509981E+00 -4.451589E+00
0.7375000E+00	119 -2.854584E-13  7.745403E+00 -4.857878E+00
0.8500000E+00	119  4.859143E-14  7.924067E+00 -5.190573E+00
0.9625000E+00	119  2.695926E-11  8.065220E+00 -5.469101E+00
1.0000000E+00	119 -4.224524E-13  8.105741E+00 -5.551359E+00
