0.5000000E-01	239 -6.657092E-12  1.623344E+00 -1.595678E-01
0.1000000E+00	239  4.771278E-12  3.020583E+00 -5.656335E-01
0.1500000E+00	239 -3.394188E-11  4.113680E+00 -1.081570E+00
0.2000000E+00	239  3.270313E-12  4.938649E+00 -1.609265E+00
0.2500000E+00	239 -4.769890E-10  5.566433E+00 -2.108270E+00
0.3000000E+00	239  5.117321E-12  6.036606E+00 -2.547983E+00
0.3500000E+00	239  3.034156E-11  6.407955E+00 -2.943496E+00
0.4000000E+00	239  2.657611E-12  6.703590E+00 -3.293684E+00
0.4500000E+00	239 -8.409015E-12  6.943600E+00 -3.604340E+00
0.5000000E+00	239  1.729925E-12  7.141778E+00 -3.880810E+00
0.5750000E+00	239  2.465401E-11  7.381579E+00 -4.242289E+00
0.6875000E+00	239  3.856486E-12  7.652347E+00 -4.690026E+00
0.8000000E+00	239  1.115285E-13  7.853782E+00 -5.053100E+00
0.9125000E+00	239 -2.258246E-11  8.010751E+00 -5.355255E+00
0.1000000E+01	239  6.385835E-12  8.110299E+00 -5.554912E+00
